1,cubewall_unscheduled_0519.eso,cubewall_scheduled_0519.eso,
,,,
Date/Time,[1] Surface Outside Face Incident Solar Radiation Rate per Area  (W/m2),[1] Surface Outside Face Incident Solar Radiation Rate per Area  (W/m2),
,SHADER_0,SHADER_0,
Year 1 Jan 18 10:00 PM,0,0,0
Year 1 Jan 18 11:00 PM,0,0,0
Year 1 Jan 19 12:00 AM,0,0,0
Year 1 Jan 19 1:00 AM,0,0,0
Year 1 Jan 19 2:00 AM,0,0,0
Year 1 Jan 19 3:00 AM,0,0,0
Year 1 Jan 19 4:00 AM,0,0,0
Year 1 Jan 19 5:00 AM,0,0,0
Year 1 Jan 19 6:00 AM,0,0,0
Year 1 Jan 19 7:00 AM,0,0,0
Year 1 Jan 19 8:00 AM,8.105615985,8.105615985,0
Year 1 Jan 19 9:00 AM,33.4922895,33.4922895,0
Year 1 Jan 19 10:00 AM,53.22635272,53.22635272,0
Year 1 Jan 19 11:00 AM,70.34259952,70.34259952,0
Year 1 Jan 19 12:00 PM,82.8787289,82.8787289,0
Year 1 Jan 19 1:00 PM,82.02839587,82.02839587,0
Year 1 Jan 19 2:00 PM,76.11387702,76.11387702,0
Year 1 Jan 19 3:00 PM,54.0674304,54.0674304,0
Year 1 Jan 19 4:00 PM,31.49789702,31.49789702,0
Year 1 Jan 19 5:00 PM,7.884506239,7.884506239,0
Year 1 Jan 19 6:00 PM,0,0,0
Year 1 Jan 19 7:00 PM,0,0,0
Year 1 Jan 19 8:00 PM,0,0,0
Year 1 Jan 19 9:00 PM,0,0,0
Year 1 Jan 19 10:00 PM,0,0,0
Year 1 Jan 19 11:00 PM,0,0,0
Year 1 Jan 20 12:00 AM,0,0,0
Year 1 Jan 20 1:00 AM,0,0,0
Year 1 Jan 20 2:00 AM,0,0,0
Year 1 Jan 20 3:00 AM,0,0,0
Year 1 Jan 20 4:00 AM,0,0,0
Year 1 Jan 20 5:00 AM,0,0,0
Year 1 Jan 20 6:00 AM,0,0,0
Year 1 Jan 20 7:00 AM,0,0,0
Year 1 Jan 20 8:00 AM,8.805323561,8.805323561,0
Year 1 Jan 20 9:00 AM,32.14760587,32.14760587,0
Year 1 Jan 20 10:00 AM,55.92228326,55.92228326,0
Year 1 Jan 20 11:00 AM,71.21358422,71.21358422,0
Year 1 Jan 20 12:00 PM,79.95235453,79.95235453,0
Year 1 Jan 20 1:00 PM,75.4915391,75.4915391,0
Year 1 Jan 20 2:00 PM,48.37728984,48.37728984,0
Year 1 Jan 20 3:00 PM,33.33587781,33.33587781,0
Year 1 Jan 20 4:00 PM,23.000875,23.000875,0
Year 1 Jan 20 5:00 PM,8.137272569,8.137272569,0
Year 1 Jan 20 6:00 PM,0,0,0
Year 1 Jan 20 7:00 PM,0,0,0
Year 1 Jan 20 8:00 PM,0,0,0
Year 1 Jan 20 9:00 PM,0,0,0
Year 1 Jan 20 10:00 PM,0,0,0
Year 1 Jan 20 11:00 PM,0,0,0
Year 1 Jan 21 12:00 AM,0,0,0
Year 1 Jan 21 1:00 AM,0,0,0
Year 1 Jan 21 2:00 AM,0,0,0
Year 1 Jan 21 3:00 AM,0,0,0
Year 1 Jan 21 4:00 AM,0,0,0
Year 1 Jan 21 5:00 AM,0,0,0
Year 1 Jan 21 6:00 AM,0,0,0
Year 1 Jan 21 7:00 AM,0,0,0
Year 1 Jan 21 8:00 AM,10.6873496,10.6873496,0
