Surface Name,6:F0,6:F1,6:F2,6:F2_W0,6:F3,6:F3_W0,6:F3_W1,6:F4
 01/02 07:00,0.132743363,0.068807339,0.037688442,0.068807339,0.04076087,0.132743363,0.037688442,0.020188425
 01/02 07:10,0.137168142,0.071100917,0.038944724,0.071100917,0.042119565,0.137168142,0.038944724,0.020861373
 01/02 07:20,0.137168142,0.071100917,0.038944724,0.071100917,0.042119565,0.137168142,0.038944724,0.020861373
 01/02 07:30,0.137168142,0.071100917,0.038944724,0.071100917,0.042119565,0.137168142,0.038944724,0.020861373
 01/02 07:40,0.137168142,0.071100917,0.038944724,0.071100917,0.042119565,0.137168142,0.038944724,0.020861373
 01/02 07:50,0.137168142,0.071100917,0.038944724,0.071100917,0.042119565,0.137168142,0.038944724,0.020861373
 01/02 08:00,0.137168142,0.071100917,0.038944724,0.071100917,0.042119565,0.137168142,0.038944724,0.020861373
 01/02 08:10,235.655156,328.5910116,236.3033047,328.5910116,0.043478261,0.14159292,0.040201005,0.02153432
 01/02 08:20,235.655156,328.5910116,236.3033047,328.5910116,0.043478261,0.14159292,0.040201005,0.02153432
 01/02 08:30,235.655156,328.5910116,236.3033047,328.5910116,0.043478261,0.14159292,0.040201005,0.02153432
 01/02 08:40,235.655156,328.5910116,236.3033047,328.5910116,0.043478261,0.14159292,0.040201005,0.02153432
 01/02 08:50,235.655156,328.5910116,236.3033047,328.5910116,0.043478261,0.14159292,0.040201005,0.02153432
 01/02 09:00,235.655156,328.5910116,236.3033047,328.5910116,0.043478261,0.14159292,0.040201005,0.02153432
 01/02 09:10,473.464958,457.1717924,474.8667727,457.1717924,0.044836957,0.146017699,0.041457286,0.022207268
 01/02 09:20,473.464958,457.1717924,474.8667727,457.1717924,0.044836957,0.146017699,0.041457286,0.022207268
 01/02 09:30,473.464958,457.1717924,474.8667727,457.1717924,0.044836957,0.146017699,0.041457286,0.022207268
 01/02 09:40,473.464958,457.1717924,474.8667727,457.1717924,0.044836957,0.146017699,0.041457286,0.022207268
 01/02 09:50,473.464958,457.1717924,474.8667727,457.1717924,0.044836957,0.146017699,0.041457286,0.022207268
 01/02 10:00,473.464958,457.1717924,474.8667727,457.1717924,0.044836957,0.146017699,0.041457286,0.022207268
 01/02 10:10,653.8188496,401.255714,655.7914724,401.255714,0.046195652,0.150442478,0.042713568,0.022880215
 01/02 10:20,653.8188496,401.255714,655.7914724,401.255714,0.046195652,0.150442478,0.042713568,0.022880215
 01/02 10:30,653.8188496,401.255714,655.7914724,401.255714,0.046195652,0.150442478,0.042713568,0.022880215
 01/02 10:40,653.8188496,401.255714,655.7914724,401.255714,0.046195652,0.150442478,0.042713568,0.022880215
 01/02 10:50,653.8188496,401.255714,655.7914724,401.255714,0.046195652,0.150442478,0.042713568,0.022880215
 01/02 11:00,653.8188496,401.255714,655.7914724,401.255714,0.046195652,0.150442478,0.042713568,0.022880215
 01/02 11:10,750.0762832,226.8304904,752.3520704,226.8304904,0.047554348,0.154867257,752.3520704,0.023553163
 01/02 11:20,750.0762832,226.8304904,752.3520704,226.8304904,0.047554348,0.154867257,752.3520704,0.023553163
 01/02 11:30,750.0762832,226.8304904,752.3520704,226.8304904,0.047554348,0.154867257,752.3520704,0.023553163
 01/02 11:40,750.0762832,226.8304904,752.3520704,226.8304904,0.047554348,0.154867257,752.3520704,0.023553163
 01/02 11:50,750.0762832,226.8304904,752.3520704,226.8304904,0.047554348,0.154867257,752.3520704,0.023553163
 01/02 12:00,750.0762832,226.8304904,752.3520704,226.8304904,0.047554348,0.154867257,752.3520704,0.023553163
 01/02 12:10,792.6352765,7.350280424,795.0433285,7.350280424,0.048913043,0.159292035,795.0433285,0.02422611
 01/02 12:20,792.6352765,7.350280424,795.0433285,7.350280424,0.048913043,0.159292035,795.0433285,0.02422611
 01/02 12:30,792.6352765,7.350280424,795.0433285,7.350280424,0.048913043,0.159292035,795.0433285,0.02422611
 01/02 12:40,792.6352765,7.350280424,795.0433285,7.350280424,0.048913043,0.159292035,795.0433285,0.02422611
 01/02 12:50,792.6352765,7.350280424,795.0433285,7.350280424,0.048913043,0.159292035,795.0433285,0.02422611
 01/02 13:00,792.6352765,7.350280424,795.0433285,7.350280424,0.048913043,0.159292035,795.0433285,0.02422611
